file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_04_B_numpy_and_pandas_series-checkpoint.ipynb,231767,71,      "[The Python yield keyword explained](http://stackoverflow.com/questions/231767/the-python-yield-keyword-explained)\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_04_B_numpy_and_pandas_series-checkpoint.ipynb,509295,619,      "http://stackoverflow.com/a/509295/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_04_B_numpy_and_pandas_series-checkpoint.ipynb,6771620,1291,      "#http://stackoverflow.com/a/6771620/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_04_B_numpy_and_pandas_series-checkpoint.ipynb,2254663,2393,      "Now I thought I'd be able to use a `n0.__eq__(5)` but nope -- it's complicated -- see http://stackoverflow.com/questions/2281222/why-when-in-python-does-x-y-call-y-eq-x#comment2254663_2282795"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_04_C_Census-checkpoint.ipynb,13130357,1529,      "#http://stackoverflow.com/a/13130357/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_07_B_Google_Chart_Example-checkpoint.ipynb,9519673,72,      "callback<http://stackoverflow.com/questions/9519673/why-does-google-load-cause-my-page-to-go-blank>\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_05_B_Geographical_Hierarchies-checkpoint.ipynb,3437130,294,      "* then use [numpy.in1d](http://docs.scipy.org/doc/numpy/reference/generated/numpy.in1d.html), which is a analogous to the [in](http://stackoverflow.com/a/3437130/7782) operator to test membership in a list"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_04_A_PfDA-checkpoint.ipynb,17295128,119,      "#http://stackoverflow.com/a/17295128/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_05_A_Geographical_Hierarchies-checkpoint.ipynb,3437130,407,      "* then use [numpy.in1d](http://docs.scipy.org/doc/numpy/reference/generated/numpy.in1d.html), which is a analogous to the [in](http://stackoverflow.com/a/3437130/7782) operator to test membership in a list"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_12_B_Baby_Names_Starter-checkpoint.ipynb,3584933,2044,      "# meaning of 111: http://stackoverflow.com/a/3584933/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_12_B_Baby_Names_Starter-checkpoint.ipynb,3584933,2084,      "# meaning of 111: http://stackoverflow.com/a/3584933/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_07_C_Google_Map_API-checkpoint.ipynb,9519673,601,      "callback <http://stackoverflow.com/questions/9519673/why-does-google-load-cause-my-page-to-go-blank>\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_07_C_Google_Map_API-checkpoint.ipynb,8361021,604,      "Also: [javascript - Google Maps API v3 - TypeError: Result of expression 'google.maps.LatLng' undefined] is not a constructor - Stack Overflow](http://stackoverflow.com/questions/6577404/google-maps-api-v3-typeerror-result-of-expression-google-maps-latlng-undef/8361021#8361021)\n"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/.ipynb_checkpoints/Day_07_A_D3_Choropleth-checkpoint.ipynb,32647365,68,      "It was only when I read [Something wrong with the d3js.org/d3.v3.min.js package - Issue #1693 - mbostock/d3](https://github.com/mbostock/d3/issues/1693), which I found via [d3.js - how to integrate d3 with require.js - Stack Overflow](http://stackoverflow.com/questions/13157704/how-to-integrate-d3-with-require-js#comment32647365_13171592) that I knew what to do.  Here's the very helpful incantion I was looking for:"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_01_B_World_Population.py,15889203,131,# http://stackoverflow.com/a/15889203/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_05_A_Geographical_Hierarchies.ipynb,3437130,294,      "* then use [numpy.in1d](http://docs.scipy.org/doc/numpy/reference/generated/numpy.in1d.html), which is a analogous to the [in](http://stackoverflow.com/a/3437130/7782) operator to test membership in a list"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_06_B_Generators.py,231855,17,# * [iterator - The Python yield keyword explained - Stack Overflow](http://stackoverflow.com/questions/231767/the-python-yield-keyword-explained/231855#231855)
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_06_B_Generators.py,102632,20,# Why use generators: http://stackoverflow.com/a/102632/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_F_Groupby.ipynb,14734627,759,      "# http://stackoverflow.com/a/14734627/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_F_Groupby.ipynb,19804282,760,      "# http://stackoverflow.com/questions/19804282/in-pandas-is-there-something-like-a-groupby-get-group-but-with-an-optional-defa\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_F_Groupby.ipynb,19530568,1023,      "# http://stackoverflow.com/questions/19530568/can-pandas-groupby-aggregate-into-a-list-rather-than-sum-mean-etc\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_05_A_Geographical_Hierarchies_bak.ipynb,3437130,346,      "* then use [numpy.in1d](http://docs.scipy.org/doc/numpy/reference/generated/numpy.in1d.html), which is a analogous to the [in](http://stackoverflow.com/a/3437130/7782) operator to test membership in a list"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_A_D3_Choropleth.py,32647365,36,# It was only when I read [Something wrong with the d3js.org/d3.v3.min.js package - Issue #1693 - mbostock/d3](https://github.com/mbostock/d3/issues/1693), which I found via [d3.js - how to integrate d3 with require.js - Stack Overflow](http://stackoverflow.com/questions/13157704/how-to-integrate-d3-with-require-js#comment32647365_13171592) that I knew what to do.  Here's the very helpful incantion I was looking for:
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_C_Census.py,13130357,269,#http://stackoverflow.com/a/13130357/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_08_B_Metro_Diversity.ipynb,4700614,3041,      "# legend foo https://stackoverflow.com/questions/4700614/how-to-put-the-legend-out-of-the-plot\n",
